ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Downloads,Price
397320426,Seth and Me and Rebel Make Three,Jeannette Eyerly,1983,"Lippincott Williams &amp, Wilkins",10,139
72546409,American Education with PowerWeb,Joel  Spring,2001,McGraw-Hill Humanities/Social Sciences/Languages,0,89
800782194,The Hiding Place,Corrie Ten Boom,1971,Baker Pub Group,25,199
770103936,Sunstrike,Michael Beres,1986,Paperjacks,3,149
340223030,Lords of Misrule,Nigel Tranter,1978,"Hodder &amp, Stoughton Ltd",0,99
722150954,Unsuitable Job for a Woman,P D James,0,Sphere Books Limited,2,249
1552780724,Just A Minute More - Glimpses of our Great Canadian Heritage,Marsha Boulton,1999,"McArthur &amp, Company",1,209
786813709,Fab Five, Don't Make a Scene, Mum - Book #1 (Fab 5, No. 1),Rosie Rushton,1999
7110928,Billy,Pamela Stephenson,2002,HarperCollins Entertainment,1,129
1580081231,2000 What Color is Your Parachute,Richard Nelson Bolles,2000,Ten Speed Pr,0,139
020162690X,Touchpoints, Your Child's Emotional and Behavioral Development, Birth-3, The Essential Reference for the Early Years,T. Berry Brazelton,1992
1558321160,Nursing Mother, Working Mother, The Essential Guide for Breastfeeding and Staying Close to Your Baby After You Return to Work,Gale Pryor,1997,Harvard Common Press
552133256,Strata,Terry Pratchett,1988,Corgi Adult,2,149
190288132X,Adiel,Shlomo Dunour,2001,Toby Press,0,79
953327523,Nalda Said,Stuart David,2000,I.M.P. Fiction,1,69
1896764096,Girl Who Hated Books(the),Manjusha Pawagi,1998,Second Story Press,24,169
679426140,Welcome to the World, Baby Girl! , A Novel,FANNIE FLAGG,1998,Random House
609608096,The Relationship Cure, A Five-Step Guide for Building Better Connections with Family, Friends, and Lovers,John M. Gottman,2001
689832923,What Do You Know About Manners?,Cynthia MacGregor,2000,Meadowbrook,6,249
60937688,Planet of the Apes,John Whitman,2001,Harperentertn,1,99
916773191,"Getting Your Child to Sleep...and Back to Sleep, Tips for Parents of Infants, Toddlers and Preschoolers (Family &amp, Childcare)",Vicki Lansky,1991,Book Peddlers,1,176
007212170X,"Harley Hahn's Internet &amp, Web Yellow Pages, Millennium Edition",Harley Hahn,1999,McGraw-Hill Osborne Media,3,139
671038311,Chomps, Flea, and Gray Cat (That's Me!),Bill Wallace,2001,Aladdin
849959306,Pine Tree Parable Board Book,Liz Curtis Higgs,2001,Tommy Nelson,1,14
1591291666,First the Raven,Leora G. Krygier,2002,PublishAmerica,1,89
385261756,Crane's Blue Book of Stationery, The Styles and Etiquette of Letters, Notes, and Invitations,Steven L. Feinberg,1989
844295582,Hawaii at Its Best (World at Its Best Travel Series),Robert S. Kane,1985,Passport Books,1,49
743464672,Getting Over Jack Wagner,Elise Juska,2003,Downtown Press,4,119
1853262803,Napoleon of Notting Hill (Wordsworth Collection),G. K. Chesterton,1998,NTC/Contemporary Publishing,2,129
014032870X,Charlie and the Great Glass Elevator, The Further Adventures of Charlie Bucket and Willie Wonka, Chocolate-Maker Extraordinary,Roald Dahl,1988,Puffin Books
316181358,The Abuse Excuse, And Other Cop-Outs, Sob Stories, and Evasions of Responsibility,Alan M. Dershowitz,1994
486280594,Three Lives, Stories of the Good Anna, Melanctha and the Gentle Lena (Dover Thrift Editions),Gertrude Stein,1994,Dover Publications
679771832,Orchid Fever, A Horticultural Tale of Love, Lust, and Lunacy (Vintage Departures),Eric Hansen,2001
879100362,Harpo Speaks!,Harpo Marx,1985,Limelight Editions,1,0
312266510,Stan and Ollie, The Roots of Comedy, The Double Life of Laurel and Hardy,Simon Louvish,2002,Thomas Dunne Books
1895837618,Pray for Us Sinners,Patrick Taylor,2000,Insomniac Press,2,149
881337269,Grassroots Organizations, A Resource Book for Directors, Staff, and Volunteers of Small, Community-Based, Nonprofit Agencies
439372941,Chasing Vermeer,Blue Balliett,2004,Scholastic Press,2,129
517092816,Tony Hillerman, Three Jim Chee Mysteries , People of Darkness/the Dark Wind/the Ghostway,Tony Hillerman,1993,Wings
1880238667,News of Home, Poems (New Poets of America, No 19),Debra Kang Dean,1998,BOA Editions
595140459,I Married Dr. Jekyll and Woke Up Mrs. Hyde, Or What Happens to Love,Alma H., Ph.D. Bond,2000,iUniverse.com
8433914553,Erecciones, Eyaculaciones, Exhibiciones,Charles Bukowski,1995,Anagrama
9681336089,Vivir Para Contarla / To Live to Tell It (Spanish),Gabriel Garcia Marques,2002,Diana,1,0
805041508,Last Rites, A Novel (Harvey, John, Charles Resnick Novels.),John Harvey,1999
096774590X,Lofting,Alma Marceau,2001,Studio Loplop,25,164
1572972181,The Crow, City of Angels , A Novel,Chet Williamson,1996,Berkley Publishing Group
140040021,The Hothouse by the East River,Muriel Spark,1977,Viking Press,7,73
671701304,GULLIVERS FUGITIVES STAR TREK NEXT GENERATION #11 (Star Trek , the Next Generation, No 11),Keith Sharee,1990,Star Trek
875963234,The Men's Health Guide To Peak Conditioning,Richard Laliberte,1997,Rodale Books,2,49
965603695,The Great Libertarian Offer,Harry Browne,2000,Liamworks,3,99
68596022,Restoring the American dream,Robert J Ringer,1979,"distributed by Harper &amp, Row",1,149
440417449,I Love You So Much,Carl Norac,2002,Dragonfly Books,1,59
8478444211,El Baron Rampante,Italo Calvino,1999,Siruela,4,119
970651452X,El Dominico Blanco,Gustav Meyrink,2001,Grupo Oceano,1,39
1566840287,The Christmas Box (Christmas Box Trilogy),Richard Paul Evans,1993,Pubs Wholesale,2,99
380793229,The Isle of Battle , Book Two of the Swans' War (The Swqans' War, Book 2),Sean Russell,2003,Eos
671718436,Shampoo Planet,Douglas Coupland,0,Simon Schuster,1,119
1400031346,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2002,Anchor (UK),2,49
754101495,In Endless Strife,Louise Gherasim,1998,Minerva Press Ltd.,1,19
1565076613,Meet Me for Coffee,Holly Halverson,1998,Harvest House Pub,1,0
2035877393,Illusion Comique,Pierre Corneille,1998,Continental Book Co Inc,1,140
2070374874,Cyrano De Bergerac (Collection Folio),E. Rostand,2003,Ideal Foreign Books,0,89
782141676,CCNA, Cisco Certified Network Associate Study Guide, Third Edition,Todd Lammle,2002,Sybex Inc
037370870X,Dream Baby (By The Year 2000, Baby) (Harlequin Superromance, No. 870),Ann Evans,1999,Harlequin
795151314,Dancing in Light,Claire Foshee,2002,The International Library of Poetry,2,208
940863332,On the Threshold of a Dream Volume 2,Alisa M. Hoffman,1990,Natl Reference Inst Pubns,6,109
440413281,Bud, Not Buddy (Newbery Medal Winner, 2000),Christopher Paul Curtis,2002,Yearling
1896300421,Dispatches from a Borderless World,Satya Das,1999,NeWest Press,2,99
188259312X,Patty Janes House of Curl,Lorna Landvik,1995,Bridge Works Publishing Company,2,239
679810528,Wild, Wild Wolves (Step-Into-Reading, Step 3),Joyce Milton,1992,Random House Children's Books
802112803,October Eight O'Clock,Norman Manea,1992,Grove/Atlantic,5,399
345407083,Do Unto Others,Kristin Lattany,2000,Oneworld Publications,3,164
1570671222,Shopping Guide for Caring Consumers 2002, A Guide to Products That Are Not Tested on Animals (Shopping Guide for Caring Consumers, 2002),People for the Ethical Treatment of Anim,2001,Peta Publications
525241604,A prodigal child,David Storey,1982,E.P. Dutton,4,249
155870275X,Cover Letters That Will Get You the Job You Want,Stanley Wynett,1993,Betterway Books,1,99
517163128,Friends Are Special,LUCY MEAD,2001,Gramercy,13,229
968288308,Gang Ranch the Real Story,Judy Alsager,1997,Bluedoor Publishing,0,0
787123730,Mother of Pearl,Melinda Haynes,1999,Dove Books,2,149
1402511787,Atonement,Ian McEwan,2002,Recorded Books,13,85
743249275,Lean Thinking , Banish Waste and Create Wealth in Your Corporation, Revised and Updated,James P. Womack,2003,Free Press
517122707,A Confederacy of Dunces,John Kennedy Toole,1995,Outlet Books Company,1,149
9724115380,A hora de SertÃ³rio (Finisterra),JoÃ£o Aguiar,1994,EdiÃ§Ãµes ASA,1,249
4770016964,All About Katakana (Power Japanese Series),Anne Matsumoto Stewart,1993,Kodansha International (JPN),1,0
553212419,Sherlock Holmes , The Complete Novels and Stories (Bantam Classic) Volume I,Arthur Conan, Sir Doyle,1986,Bantam
671037285,Circle and the Cross,Caiseal Mor,0,Earthlight Press, Limited,11
764223666,Evening Star (Sam Keaton,Legends of Laramie, 1),Sigmund Brouwer,2000,Bethany House Publishers
800757181,Daughter of Joy (Morgan, Kathleen, Brides of Culdee Creek, Bk.1.),Kathleen Morgan,1999
891073906,This Present Darkness,Frank E. Peretti,1986,Crossway Books,2,349
187895105X,Huldah,Lois Erickson,1991,Adventist Book Center New Jersey,1,129
747541604,The Gashlycrumb Tinies,Edward Gorey,1998,Bloomsbury Publishing Plc,5,164
747256675,Gallery Whispers,Quintin Jardine,2001,Headline Book Publishing,4,119
380711982,Katherine, It's Time , The Incredible True Story of the Multiple Personalities of Kit Castle,Kit Castle,1990,Harper Mass Market Paperbacks (Mm)
947782753,Scottish Ghost Stories,Giles Gordon,0,Lomond Publications Inc,7,89
883781042,The Isis Papers,Frances Cress Welsing,1991,Third World Press,1,139
913866156,Aleister Crowley Thoth Tarot Deck,Aleister Crowley,1972,U.S. Games Systems,2,199
94717907,The Grail, from Celtic Myth to Christian Symbol, From Celtic Myth to Christian Symbol (Celtic Interest),Robert Sherman Loomis,1992,Constable and Company Ltd
3473581534,Jenseits des groÃ?Â?en Meeres 01. Die Flucht. ( Junge Erwachsene).,Avi,2001,Ravensburger Buchverlag,5,129
590425919,White Fang,Jack London,1989,Apple Classics (Scholastic),2,33
805210555,The Complete Stories,Franz Kafka,1995,Schocken Books,3,170
451628047,Inferno (Mentor),Dante Alighieri,1993,Mentor Books,1,164
440114330,Close encounters of the third kind,Steven Spielberg,1977,Dell Pub,12,170
764228943,A Tapestry of Hope (Peterson, Tracie. Lights of Lowell, 1.),Tracie Peterson,2004,Bethany House Publishers
880384433,Dueltrack (Car Wars Adventure Game Book),Scott Haring,1987,T S R,5,129
8475060099,El momento del ave,Pancho Vives,1980,Turner,2,70
8450504090,GalerÃ­a en cuarentena (Narrativa),AgustÃ­n Villar Ledesma,1984,ConsejerÃ­a EducaciÃ³n y Cultura, DirecciÃ³n General de AcciÃ³n Cultural,1
71364498,Gipsy Moth Circles the World (The Sailor's Classics #1),Sir Francis Chichester,2000,International Marine/Ragged Mountain Press,2,79
451527712,Frankenstein, Or, the Modern Prometheus (Signet Classics (Paperback)),Mary Shelley,2000,Signet Book
876544766,A Small Book of Fairies,Eugene Stiles,1995,Pomegranate Communications,1,259
5553531144,Human Dignity and Freedom-25.95,Universe Publishing Co,0,First Glance Books,0,190
871567865,The Best of Edward Abbey,Edward Abbey,1988,Sierra Club Books,3,129
380728265,Blind Descent, , An Anna Pigeon Mystery (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1999,Avon
786884592,Life Strategies, Doing What Works, Doing What Matters,Phillip C. McGraw,2000,Hyperion
333568745,River god,Wilbur A Smith,1993,Macmillan,1,54
61098280,Total Health Makeover,Marilu Henner,1999,ReganBooks,2,129
671570072,Midsummer Bride,Mary Lewis,1980,"Simon &amp, Schuster Adult Publishing Group",3,279
802730981,You Have Yourself a Deal,James Hadley Chase,1984,"Walker &amp, Co",1,0
055337396X,The Fine Art Of Erotic Talk , How To Entice, Excite, And Enchant Your Lover With Words,BONNIE GABRIEL,1996
006000469X,Engaged to Die , A Death on Demand Mystery (Hart, Carolyn G),Carolyn Hart,2003,William Morrow
8425335272,Doble Juego,Ken Follett,2001,Grijalbo,1,129
1565540387,Strange True Stories of Louisiana,George Washington Cable,1994,Pelican Publishing Company,4,99
2867448999,One Man Show,Nicolas Fargues,2002,P.O.L.,1,119
760700435,Sense and sensibility,Jane Austen,1996,"Barnes &amp, Noble",1,479
051718608X,Colorado (Photographic Tour Series),Ted Landphair,1997,Crescent Books,1,149
1570431108,Eckankar, Ancient Wisdom for Today, How Past Lives, Dreams, and Soul Travel Help You Find God,Todd Cramer
517463008,Sherlock Holmes Encyclopedia,Orlando Park,1986,Avenel Books,1,99
910395039,Murder for profit,William Bolitho,1982,Marlboro Press,1,139
967231434,Small leather journal with strap-myra series,Anatolian Treasures,1999,Anatolian Treasures,4,150
940685590,Winner's Guide To Texas Hold'em Poker,Ken Warren,1995,Cardoza,4,139
8817106100,Oceano Mare,Alessandro Baricco,0,Biblioteca Universale Rizzoli,1,79
373153260,The Wedding is White (Silhouette Desire),Diana Palmer,2000,Silhouette Books,2,63
1573221082,Ordinary Grace, An Examination of the Roots of Compassion, Altruism, and Empathy, and the Ordinary Individuals Who Help Others in Extraordinary Ways,Kathleen A. Brehony
770104274,Ariana,Edward Stewart,1987,PaperJacks,8,89
068482292X,What Remains to Be Discovered , Mapping the Secrets of the Universe, the Origins of Life, and the Future of the Human Race,John Maddox,1998
345394658,Return to the Chateau, Preceded By, a Girl in Love,Pauline Reage,1995,Ballantine Books
140450181,Major Barbara, Definitive Text (Shaw, Bernard, Bernard Shaw Library.),Bernard Shaw,1989
877790388,Webster's Legal Speller,Springfiel,1978,Merriam Webster,25,249
451521293,Twelfth Night, Or, What You Will (Signet Classic Shakespeare Series),William Shakespeare,1991,Signet Classics
764221566,A Quiet Strength (Oke, Janette, Prairie Legacy, 3),Janette Oke,1999
773674187,Canadian Poetry (New Press Canadian Classics),Jack David,1989,General Distribution Services,1,120
304357278,"E-Tales, The Best &amp, Worst of Internet Humor",David Milstead,2001,Cassell,0,0
714530387,Room,Hubert Selby,2001,Marion Boyars Publishers,0,0
1591092744,LAPP,Harry Gersteneker,2002,Imprint Books,9,164
923059008,Gates of Hell,Brian Stewart,1988,Reignbow,3,69
399144684,Hunter's Moon, A Kate Shugak Mystery (Stabenow, Dana. Kate Shugak Mystery.),Dana Stabenow,1999,Putnam Publishing Group
590137859,The Case of the Secret Password (Clue Jr.),Parker C. Hinter,1997,Little Apple Books (Scholastic),25,99
786845384,Lizzie McGuire, When Moms Attack! - Book #1 , Junior Novel (Lizzie McGuire (Numbered)),Kim Ostrow,2002,Disney Press
8432213616,El beso de la mujer araÃ±a (Nueva narrativa hispÃ¡nica),Manuel Puig,1976,Seix Barral,0,176
8472238350,Te Llamare Viernes (Fabula),Almudena Grandes,1994,Schoenhofsforeign Books Inc,1,176
805060227,Eating Naked,Stephen Dobyns,2000,Metropolitan Books,1,119
3596200261,Fischer TaschenbÃ?Â¼cher, Bd.26, SchÃ?Â¶ne neue Welt,Aldous Huxley,2002,Fischer (Tb.)
1891480030,The Ushers,Edward Lee,1999,Obsidian Pub Pr,0,14
1930603401,"Fondue (Quick &amp, Easy Series)",Marlisa Szwillus,2000,Silverback Books,2,109
971614504,Shade of the Maple,Kirk Martin,2002,Cantwell Hamilton Pr,1,176
972930949,The Fear Within,Nicole Thomas,2002,3f Publications,1,199
1881475735,Operator B,Edward Lee,1999,Cemetery Dance Pubns,1,175
972085920,Rage,Steve Gerlach,2004,Bloodletting Pr,1,350
950028359X,Mi Planta de Naranja-Lima,Jose Vasconcelos,1971,Ateneo De Manila Univ Pr,2,44
9722100262,Memorial Do Convento,Jose Saramago,0,Luso Brazilian Books,2,49
8484034097,Alicia En El Pais De Las Maravillas, Fantasmagoria, Y Un Cuento Enredado / Alice In Wonderland, Phantasmagoria, And, A Tangled Tale (Clasicos Seleccion)
9505112033,62 Modelo Para Armar,Julio Cortazar,1995,Aguilar,13,69
8434410990,Etica para Amador (Ariel),Fernando Savater,1991,Ariel,4,244
531058379,Afternoon of the Elves,Janet Taylor Lisle,1989,Orchard Books (NY),1,149
1856352498,The Story of Irish Emigration (Compact Irish history),Frank D'Arcy,1999,"Irish Books &amp, Media",1,129
152024999,Ginger Pye,Eleanor Estes,2000,Harcourt Young Classics,25,299
889223394,Modern Canadian Plays (Modern Canadian Plays),Jerry Wasserman,1994,Talonbooks, Ltd.,0
138199051,Social Inequality in Canada Patterns Problems Policies,Curtis,1992,Prentice Hall (Sd),1,129
920057861,Radical Papers,Dimitrios Roussopoulos,1996,Black Rose Books,3,89
176035400,Work, Industry, and Canadian Society,H. Krahn,1993,Nelson Canada
192815326,Frankenstein, Or, the Modern Prometheus (World's Classics),Mary Wollstonecraft Shelley,1982,Oxford University Press
948984031,Scum Manifesto,Valerie Solanas,1991,Phoenix Press (UK),15,229
951426133,Free,M. Gilliland,1990,Attack International,7,103
704339838,Never the same again, Women and the miners' strike, 1984-85,Jean Stead,1987,Women's Press
1859671438,Tinwork (New Crafts),Marion Elliot,1996,Lorenz Books,5,149
971400415,Love Thy Sister,Maria Grazia Swan,2001,Zander eBooks,2,49
23672609,Descartes , Discourse On Method and the Meditations,Laurence J. Lafleur,1960,Pearson Education,14
30914566,Soldier,Anthony B Herbert,1973,Holt, Rinehart and Winston,2
879516283,The Gormenghast Novels, Titus Groan, Gormenghast, Titus Alone,Mervyn Peake,1995
192883244X,Man, Woman, and the Meaning of Love, God's Plan for Love, Marriage, Intimacy
934641641,How to Rock Climb! (How to Rock Climb),John Long,1993,Globe Pequot Pr,1,152
1851820442,Navarre Bible, Acts of the Apostles (Navarre Bible, New Testament),Faculty of Theology of the University of,1998,International Specialized Book Services
1885221665,If You Wear Out Your Body, Where Will You Live?, The Little Book of Nourishment for Your Body, Mind, and Soul,Barb Schwarz
1561568805, Tales of Terror and Suspense,Allen Edgar,1998,Kidsbooks,1,89
717289079,Disney's Tarzan (Disney's Wonderful World of Reading),Owned by Edgar Rice Burroughs,1999,Grolier Book Club Edition,4,24
310202639,Baseball 2,Mark Littleton,1996,Zondervan (J),6,189
1856975770,The Kingfisher First Dictionary,Angela Crawley,1995,Kingfisher,3,79
9531530319,"Gdje pijevac ne pjeva (Biblioteka \Zlatni paun\"")""",Ivan Aralica,1996,"\Otokar Kersovani\""""",1,119
8631301663,Martin protiv CIA-e i KGB-a (Hit junior),Dubravko Jelacic Buzimski,1988,Znanje,1,59
449001962,Murder in Foggy Bottom (Truman, Margaret, Capital Crimes Series.),Margaret Truman,2002,Fawcett Books
1842328506,The Widow,Nicolas Freeling,2001,House of Stratus,1,44
373272359,Texas Hero  (Code Name,  Danger) (Silhouette Intimate Moments, 1165),Merline Lovelace,2002,Silhouette
843953101,You Are SO Cursed!,Naomi Nash,2004,Smooch,0,90
1562927736,The Adventures of Mighty Mom,Gwendolyn Mitchell Diaz,2000,Chariot Victor Pub,4,199
60199296,Today I Am a Ma'Am, And Other Musings on Life, Beauty, and Growing Older,Valerie Harper,2001
1885365012,Dancing With Tigers,Janet E. Lapp,1994,Demeter Press,13,149
61097942,Our Looks, Our Lives, Sex, Beauty, Power, and the Need to Be Seen
743456394,The White Road,John Connolly,2004,Atria Books,0,59
312270712,Dispensing with the Truth , The Victims, the Drug Companies, and the Dramatic Story Behind the Battle over Fen-Phen,Alicia Mundy,2002
1594570841,MacFarlane's Ridge,Patricia Deane Wigington,2003,Global Book Publisher,5,149
969522908,The Canadian achievers, How they did it, how you can do it, why you should do it,Dick Drew,1991
842357424,Land of the Shadow (Appomattox Saga #04),Gilbert Morris,1993,Tyndale House Pub,6,99
9070066882,Het volgende verhaal,Cees Nooteboom,1991,De Arbeiderspers,3,99
1569247137,Three Trapped Tigers,G. Cabrera Infante,1997,"Marlowe &amp, Company",6,129
3596223946,Sommerhaus, spÃ¤ter, ErzÃ¤hlungen (Collection S. Fischer),Judith Hermann,1998,S. Fischer
3547717655,WÃ?Â¼stenmond.,Federica de Cesco,2000,Schroeder M.V.,2,129
3446200487,Baudolino.,Umberto Eco,2001,Carl Hanser Verlag,1,149
3446201882,Die Stadt der wilden GÃ?Â¶tter,Isabel Allende,2002,Hanser Belletristik,1,209
759901260,Cowboy in My Pocket,Kate Douglas,2001,Hard Shell Word Factory,3,89
553570951,Dawn Rochelle, Four Novels, Six Months to Live/ I Want to Live/ So Much to Live For/ No Time to Cry,Lurlene McDaniel,2000,Starfire
688159141,Gates of Eden,Ethan Coen,1998,Rob Weisbach Books,2,99
767900936,Eat Your Way Across the U.S.A, 500 Diners, Farmland Buffets, Lobster Shacks, Pie Palaces, and Other All-American Eateries
1559581719,The Food Lover's Handbook to the Southwest, Where to Find the Very Best Restaurants, Gourmet Shops, Outdoor Markets, Food Fiestas,Dave Dewitt
043942089X,The Thief Lord,Cornelia Funke,2003,Chicken House,3,164
6392466,Working Class Zero,Rob Payne,2003,HarperCollins Canada,7,79
552138428,The Brentford Triangle,Robert Rankin,1992,Bantam Pr Ltd,6,129
1583483322,And Not  Make Dreams Your Master,Stephen Goldin,1999,iUniverse.com,13,149
830708200,Psalms for God's People, A Bible Commentary for Laymen,Robert K., Johnston,1982,Kings Court Communications
671663194,PICTURE-PERFECT MYSTERY (NANCY DREW 94) , PICTURE-PERFECT MYSTERY (Nancy Drew, No 94),Carolyn Keene,1990,Aladdin
8308033555,Ono,Dorota Terakowska,2003,Wydawn. Literackie,3,119
3548602746,Die Seekarte.,Arturo Perez-Reverte,2003,"List, Verlag GmbH &amp, Co. KG Paul",0,139
3548255329,FÃ?Â¼nf Viertel einer Orange.,Joanne Harris,2002,"Ullstein Buchverlage GmbH &amp, Co. KG / Ullstein Tas",0,79
3716022799,Schattenkinder.,Margaret Forster,2001,Arche Verlag,0,59
3548257615,Die GlasblÃ?Â¤serin.,Petra Durst-Benning,2002,List Tb.,0,69
609604511,A Recipe for Bees,Gail Anderson-Dargatz,2000,Harmony Books,0,29
913367346,Just Like Jesus,Max Lucado,1998,Word,2,99
892211105,China Cry,Nora Lam,1984,New Leaf Pr,4,33
688084923,Morning, Noon, and Night,Sidney Sheldon,1995,"William Morrow &amp, Company"
445044454,Sisters And Strangers,Helen Van Slyke,1978,Fawcett Popular Books,0,195
974375853,Hickerdoodle Meets a Chigger,Lisa Brez,2004,River Road Press (MO),1,139
863186602,New Pregnancy and Birth Book,Miriam Stoppard,1991,Dorling Kindersley,11,129
316804924,The Discovery of Animal Behaviour,John Sparks,1982,Granite Impex Ltd,6,119
080506270X,A Field Guide to Demons, Fairies, Fallen Angels and Other Subversive Spirits,Carol K. Mack,1999,Owl Books
1558747613,Chicken Soup for the Teenage Soul III , More Stories of Life, Love and Learning (Chicken Soup for the Soul),Jack Canfield,2000,HCI Teens
3791535560,Heimatlos. ( Ab 12 J.).,Hector Malot,1996,Dressler Verlag,1,59
860682552,I'm not complaining (Virago modern classics),Ruth Adam,1983,Virago,8,249
1582343047,How to Cook a Tart,Nina Killham,2003,Bloomsbury USA,3,139
520216202,Asphalt Nation, How the Automobile Took over America, and How We Can Take It Back,Jane Holtz Kay,1998,University of California Press
3551580561,Fanny und Pepsi. ( Ab 12 J.).,Corinna Belz,2000,Carlsen,2,99
140196226,If the Buddha Married, Creating Enduring Relationships on a Spiritual Path,Charlotte, Ph.D. Kasl,2001,Compass Books
553571338,The Giver,LOIS LOWRY,1999,Bantam Books for Young Readers,2,129
671041584,Blood Washes Blood , A True Story of Love, Murder, and Redemption Under the Sicilian Sun,Frank Viviano,2001
880707682,Chosen (Palisades Pure Romance),Bergren,1996,Palisades,5,240
671868403,COLLEGE WEEKEND, FEAR STREET #32 , COLLEGE WEEKEND,R.L. Stine,1995,Simon Pulse
553157663,Jessica, the Rock Star (Sweet Valley Twins, No 34),Francine Pascal,1989,Sweet Valley
809255324,Physics for Poets,Robert H. March,1983,McGraw-Hill/Contemporary,1,109
1585972622,Spiderbreath,Norence A. Nelson,2004,Leathers Publishing,2,129
373227396,Unmarked Man , Bachelors at Large (Harlequin Intrigue, 739),Darlene Scalera,2003,Harlequin
373711719,For The Children , Twins (Harlequin Superromance, 1171),Tara Taylor Quinn,2003,Harlequin
738704458,Witchy Tarot,Laura Tuan,2003,Llewellyn Espanol,2,89
316281697,Like Father, Like Daughter, How Father Shapes the Woman His Daughter Becomes,Suzanne Fields,1983,"Little Brown &amp, Co"
60965118,The Jeopardy! Book, The Answers, the Questions, the Facts, and the Stories of the Greatest Game Show in History,Alex Trebek
843922567,Creature,Drake Douglas,1985,Banner of Truth,3,149
1592231381,The Tarot Set,Jane Lyle,2003,Thunder Bay Press (CA),1,176
801043859,When the One You Love Wants to Leave,Donald R. Harvey,1993,Baker Books,11,119
785270442,Winning Your Husband Back Before It's Too Late, Whether He's Left Physically or Emotionally, All That Matters Is...,Gary Smalley,1999,Nelson Books
1555472419,Just Before Daybreak,Audrey Couloumbis,1988,Critics Choice Paperbacks/Lorevan Publishing,10,119
1590030044,White Magic Book,John Le Breton,2001,Red Wheel,1,0
3036911154,Der Welt den RÃ?Â¼cken. 2 CDs.,Elke Heidenreich,2001,"Kein &amp, Aber",0,0
006016848X,Men Are from Mars, Women Are from Venus, A Practical Guide for Improving Communication and Getting What You Want in Your Relationships,John Gray,1992,HarperCollins Publishers
865473900,Rosie,Anne Lamott,1989,North Point Press,1,0
451406907,Surrender (Florida Civil War (Paperback)),Heather Graham,1998,Topaz,1,149
451198948,Warrior's Song (Coulter, Catherine. Medieval Song Quartet, 4.),Catherine Coulter,2004,Signet Book
1552450244,Piccolo Mondo,Angela May Bowering,1998,Coach House,2,119
6480764,Lost Girls,Andrew Pyper,0,Harperperennial,5,89
818403802,Getting straight A's,Gordon W Green,1985,L. Stuart,12,164
836217810,We Are Experiencing Parental Difficulties...Please Stand By , Baby Blues Scrapbook No.5 (Baby Blues Scrapbook, No 5),Rick Kirkman,1995,Andrews McMeel Publishing
736605673,Animal Farm,George Orwell,1981,Books on Tape,1,149
749391723,Lives of the Saints,Nino Ricci,1991,Minerva,15,149
067318160X,Short English handbook,David E Fear,1986,Scott, Foresman,1
155591229X,Potomac Trails, D.C., Virginia, Maryland, and West Virginia,Allan Sutton
1881066703,New York City Restaurants 3 Ed,Andre Gayot,2001,Gayot,3,249
671798782,DIANA, HER TRUE STORY , DIANA, HER TRUE STORY,Andrew Morton,1992
886191718,Daughters of Captain Cook (International fiction list),Linda Spalding,1989,Carol Pub Group,6,99
704340070,Three Ply Yarn,Caeia March,1992,Women's Press, Ltd. (UK),1
440132118,As On A Darkling Plain,Bova Ben,1978,Dell Publishing Co., Inc.,2
330303279,Seek the Fair Land,Walter Macken,1962,Britain Books,1,49
749308583,The Positive Way to Change Your Life,Norman Vincent Peale,1994,Vintage/Ebury (A Division of Random House Group),19,199
425187055,Tom Clancy's Power Plays, Cutting Edge (Power Plays, 6),Tom Clancy,2002,Berkley Publishing Group
1589199669,A Place Called Wiregrass,Michael Morris,2002,RiverOak Publishing,1,54
1566492017,Appointment with Il Duce,Hozy Rossi,2001,Welcome Rain,1,59
316184152,Final Harvest , Poems,Emily Dickinson,1964,Back Bay Books,2
080701222X,"The Blooming of a Lotus, Guided Meditation Exercises for Healing &amp, Transformation",Thich Nhat Hanh,1993,Beacon Press,5,139
1585673625,To the Edge of the Sky, A Story of Love, Betrayal, Suffering, and the Strength of Human Courage,Anhua Gao
881001163,Murder in Palm Springs,Mike Romano,2000,National Writers Press,3,59
6280803,Kundun,Mary Craig,1998,Fount,3,79
805063021,Canone Inverso,Paolo Maurensig,1999,Owl Books (NY),2,89
842382836,Degrees of Guilt, Miranda's Story (Degrees of Guilt, 2),Melody Carlson,2003,Thirsty Books
842382844,Degrees of Guilt, Kyra's Story (Degrees of Guilt, 1),Dandi Daley MacKall,2003,Thirsty Books
974757004,Ladies Choice,Natasha Usher,2004,2nd Avenue Publishing, Inc.,0
1592680291,Harlem Sunset,Kris Kumar,2003,Rockhouse Press,5,139
1594140812,Becoming Maren,Africa Fine,2003,Five Star (ME),8,119
8440685270,Misterio de Merlin,Marten Coombe,1998,Grupo Zeta,1,119
8475078427,Tristes armas (FÃ³ra de xogo),Marina Mayoral,1994,Xerais,22,59
771099843,Sunshine Sketches of a Little Town (New Canadian Library),STEPHEN LEACOCK,1989,New Canadian Library,4,199
1577940040,Life in the Word, Teachings, quotes, personal insights, and humor from one of today's leading ministers,Joyce Meyer
